RagioneSociale,NomeVigneto,Oidium_Risk_Percent_07/26-08/01,Peronospora_Risk_Percent_07/26-08/01,Avg_Risk_Percent_07/26-08/01,Probabilita_OIDIO_26/07,Probabilita_PERONOSPORA_26/07
WESS RAINER,WACHAU,24.3,91.4,57.8,38.33,4.58
Ducal,Modri Pinot Breg,24.5,90.6,57.5,50.33,4.89
Marcell Deiss,Bergheim,23.1,90.0,56.6,66.95,9.16
Ducal,Laški Rizling Špičnik,24.9,89.4,57.1,50.33,4.89
FUHRGASSL-HUBER,WAGRAM,24.9,88.6,56.8,40.87,4.71
Joh Jos Prum,Wehlener Sonnenuhr,24.8,88.5,56.7,32.67,3.71
OTT,WAGRAM,25.5,88.1,56.8,16.33,2.0
Società Agricola Agribel S.S.,CSV_PN1,23.4,88.1,55.8,43.33,4.69
Olivier Humbrecht,Gueberschwirh,20.6,87.6,54.1,68.05,17.29
MANTLERHOF,STYRIA,19.4,87.5,53.5,17.33,2.05
Val Frison,Cotes des Bar,24.1,87.4,55.7,65.43,7.61
Verstovšek Estate,Blaufränkisch - Marof Pri Kleti,26.4,87.4,56.9,57.92,20.38
Oremus,Puszta,26.8,87.0,56.9,83.8,35.78
Verstovšek Estate,Chardonnay  Basso- Podgorje,26.5,86.8,56.7,57.92,20.38
Istenič,Nuovo impianto Est,26.7,86.5,56.6,57.92,20.38
Verstovšek Estate,Chardonnay Marof,26.8,86.3,56.6,57.92,20.38
Damijan Milic,Vitovska Repen - Damijan Milic,25.6,86.1,55.9,55.77,5.75
Rainoldi,Neb_Lucia_Chiuro,26.0,85.9,56.0,86.33,17.6
Krug,Ambonnay,25.6,85.9,55.8,12.67,1.52
az. agr. Riva del Carian di Agostinetto Marco ,Pian,17.6,85.8,51.7,57.0,6.41
Gaja,Sauvignon Boscasso,24.4,85.7,55.0,58.33,5.29
Chateau Chalon,Jura,24.1,85.5,54.8,87.97,28.75
Rainoldi,Neb 2003_Campione,25.5,85.2,55.4,81.83,18.27
Rainoldi,Neb 1970_Prandi,26.1,85.1,55.6,81.83,18.27
Rainoldi,Neb 1970_Cartello,26.3,85.0,55.6,88.75,17.92
PACHERHOF,VALLE ISARCO,24.7,84.8,54.7,49.7,5.15
Marjan Simčič,Ribolla Jordano,24.7,84.8,54.7,82.61,18.01
Marjan Simčič,Chardonnay Medana Jama,24.7,84.8,54.7,82.61,18.01
Albert Bichot,Chablis,28.7,84.7,56.7,32.0,2.79
Marjan Simčič,Merlot Beric sopra,26.3,84.7,55.5,82.61,18.01
Jidvei,AMESTECF37-P3,26.5,84.3,55.4,87.34,32.31
Arpepe,Rocce Rosse ARPEPE,24.9,84.1,54.5,83.58,15.14
Rainoldi,Neb 1968_Sceresini,26.2,84.0,55.1,83.58,15.14
Loredan Gasparini,032 monti,29.3,84.0,56.6,48.03,9.28
Loredan Gasparini,027ab marasca cabina,29.3,84.0,56.6,55.52,8.29
Bollinger,Ay,26.5,84.0,55.2,16.0,1.99
Aquila del Torre,DOIMIL - Sauvignon,21.0,83.9,52.4,88.3,13.27
Antico Broilo,Pinot Nero_Cialla,20.2,83.8,52.0,87.5,17.4
Az Agr Adami,Sorapiana Est,17.4,83.8,50.6,57.23,6.42
Rainoldi,Neb_Gatti,24.8,83.8,54.3,24.27,2.69
Gori,RefDPR-Qualso ,18.9,83.7,51.3,88.3,13.27
Gaja,"Sauvignon ""159"" x 41B Pruneto",25.3,83.7,54.5,58.33,5.29
Kante,Sagrado CH,25.4,83.5,54.4,71.58,18.89
LE PIANE,BOCA,19.4,83.5,51.4,4.0,0.5
Jidvei,FETEASCA REGALAF3 - 27,27.2,83.5,55.4,87.4,31.44
Radikon,Sv - Ceno,19.3,83.4,51.4,82.61,18.01
La Castellada,Zardin-Pinot grigio,19.3,83.4,51.4,82.61,18.01
Radikon,Rib - Casa,19.3,83.4,51.4,82.61,18.01
Chateau Gruaud Larose,saint Julien,25.5,83.4,54.5,40.99,5.99
Loredan Gasparini,012a cento piante,30.0,83.3,56.7,51.0,5.51
Trevisan Stefano,Rib - Morassutti Stefano,20.6,83.2,51.9,67.91,11.36
Salon,Le Mesnil,26.6,83.2,54.9,12.0,1.19
Rainoldi,Neb 1970 _Gildo,22.6,83.2,52.9,88.75,17.92
Russiz Superiore,Cha - Agriturismo,19.6,83.1,51.3,82.61,18.01
Chateau Mouton Rothschild,Pauillac,25.6,83.0,54.3,43.17,4.82
Vignai da duline,Ref 2005-Duline,28.6,83.0,55.8,73.81,16.57
Demo Syngenta,Cardonnay Cabrelli,28.7,82.9,55.8,88.3,13.27
Ca'Selva,Glera - Lotto 2,25.5,82.9,54.2,86.75,19.45
Az.Agr. Elisabetta Cichellero,Refosco d PR Belvedere,21.2,82.8,52.0,74.67,12.09
Monsupello,Ch- 2017 Rose,29.0,82.6,55.8,0.0,0.0
Chateau Suduiraut,Sauternes,25.5,82.6,54.1,27.97,3.18
Casali Aurelia,mer-bosco,26.0,82.6,54.3,78.06,12.41
Quattrin diego,pagnucco,29.8,82.5,56.2,67.91,11.36
Casa E. Mirafiore,Pinot n. Cantina,26.7,82.5,54.6,59.55,6.37
Vistorta,Mer_1997_A_sud,29.2,82.4,55.8,57.13,6.61
La Tosa,Malvasia di Candia aromatica Ronco,30.6,82.4,56.5,61.52,17.63
Tofful Andrea,Glera Tofful,25.1,82.4,53.7,69.36,15.96
DOMAINE RP  BOULEY,Aloxe Corton,25.3,82.3,53.8,48.33,4.49
Sgubin Renzo,Pb-Genoveffa,28.0,82.3,55.1,69.36,15.96
Vinakras,Refošk Girovci - Vinakras,27.1,82.1,54.6,85.06,20.4
Comelli Pierluigi,Pig-Sottocasa,24.8,82.1,53.4,92.21,20.26
Château d'Yquem,Sauternes,25.7,82.1,53.9,27.97,3.18
Marjan Simčič,Ribolla Medana Jama,24.4,82.1,53.2,82.61,18.01
Nebo,Koren Sauvignon,22.0,82.1,52.0,83.03,17.07
André Ostertag,Muenchberg,25.7,82.0,53.9,65.36,7.8
Gradis'ciutta,Pg - San Floriano Vasca,24.8,82.0,53.4,82.61,18.01
Azienda Vitivinicola Rossi Terre di Cuccagna,Casoni,26.6,82.0,54.3,0.0,0.0
Nebo,Corpus Merlot,25.4,82.0,53.7,69.36,15.96
Venica & Venica,ToFr-Cime,20.2,81.9,51.0,83.03,17.07
Radikon,Mer - Podsabotin,18.6,81.9,50.2,82.61,18.01
Chateau d'Arche,Sauternes,25.6,81.8,53.7,27.97,3.18
Zorzenone,Zorzenone-Verd-BellaNapoli,21.5,81.8,51.6,89.29,18.35
Antico Broilo,sch- cantina,20.9,81.8,51.4,87.5,17.4
Marjan Simčičx,BRDA,26.0,81.8,53.9,82.61,18.01
La Sclusa,Rib - Casa Est Cantina,21.3,81.7,51.5,89.29,18.35
La Sclusa,Mer - Casa Ovest Cantina,21.3,81.7,51.5,89.29,18.35
DOMAINE RP  BOULEY,Teurons 1er Cru,25.7,81.7,53.7,45.33,4.34
Guerra Dario,tocai,23.5,81.7,52.6,86.36,17.54
ALLEGRINI,AMARONE,26.4,81.6,54.0,68.0,6.66
Gaja,Sauvignon R3 x 420 A Turna 4 ,26.7,81.6,54.1,58.33,5.29
Gaja,Chardonnay massale Bourgogne x Gravesac,26.7,81.6,54.1,58.33,5.29
Sgubin Ferruccio,Mer-Lidia,21.8,81.5,51.7,87.5,17.4
Az.Agr. Elisabetta Cichellero,Prosecco Najma,18.9,81.5,50.2,74.67,12.09
Marjan Simčič,Sauvignon Vert Zegla Fornaja,26.9,81.5,54.2,69.36,15.96
Monsupello,Pg - 2013 Bertelegni,31.6,81.5,56.5,82.8,17.59
Casali Aurelia,franconia,24.3,81.4,52.8,78.06,12.41
Pontoni Flavio,cabs-lippe,23.7,81.3,52.5,83.78,23.09
Le Flaive,Puligny Montrachet,25.1,81.2,53.1,15.53,1.67
Ramonet,Montrachet,25.0,81.2,53.1,15.53,1.67
Lorenzon - I Feudi di Romans,PG 6Ha,28.6,81.1,54.9,68.27,10.56
Rango Simone,Prosecco lato canaletta,30.5,81.1,55.8,89.15,29.75
Il Carpino,Merlot Mossa,27.5,81.1,54.3,78.19,17.32
Livio Felluga,Case 10 - Me foresteria,26.4,81.0,53.7,74.45,16.47
Ferlat,pg-canale,25.3,81.0,53.1,69.36,15.96
Ripa della Volta,Rebo_Cantina Vendri,29.8,81.0,55.4,79.55,14.06
La Sclusa,RefDPR - Ronco Ipplis,21.8,81.0,51.4,83.03,17.07
Galliussi Ivo,Merlot,21.3,80.8,51.0,83.03,17.07
Specogna,ToFr - Est Cantina,21.7,80.8,51.2,78.47,16.7
Coche Dury,Cotrton Charlemagne,25.5,80.8,53.1,48.33,4.49
Carlo Cervini,Vigna D'Gidio,27.1,80.8,54.0,57.67,5.25
ACADEMY 4GRAPES 2024-25,Demo Academy,27.1,80.8,54.0,57.67,5.25
Russiz Superiore,Pic - Gradisca,27.0,80.8,53.9,69.36,15.96
DOMAINE RP  BOULEY,Pommard Lambot,25.9,80.7,53.3,26.67,2.52
Ronco Blanchis,Tocai Galeona_FIVI,25.3,80.7,53.0,82.61,18.01
Poggio da Monte di Achilli A. e F.N.,Barbera Fontanassa,30.6,80.7,55.7,0.0,0.0
Ferdinand,Chardonnay Nuovo Gonjače,21.7,80.7,51.2,88.88,19.8
Gradis'ciutta,Rib-Saurin,25.6,80.6,53.1,82.61,18.01
Villa Russiz,Sau - Georgie,24.8,80.6,52.7,82.61,18.01
Russiz Superiore,Moscato Rosa - Centralina,24.8,80.6,52.7,82.61,18.01
Jidvei,FETEASCA REGALA F1-P24,26.4,80.6,53.5,87.4,31.44
Castello di Cigognola ,pinot nero giovane Anteo,30.9,80.6,55.8,0.0,0.0
Alessio Brandolini,Cassino,31.4,80.6,56.0,0.0,0.0
Danieli,Mer - Sottomonte OVEST,22.9,80.6,51.7,83.03,17.07
Specogna,Sau - Lato Bosco Gniemiz,26.8,80.5,53.7,73.81,16.57
DOMAINE RP  BOULEY,Clos des Chens Grands,25.3,80.5,52.9,26.67,2.52
DOMAINE RP  BOULEY,Les Clous Grands 1er Cru,25.3,80.5,52.9,2.77,0.14
Ronco Blanchis,Chardonnay 3 Blanchis Collina,27.4,80.5,54.0,78.19,17.32
Zidarich,Prulke,28.2,80.5,54.3,71.58,18.89
Lorenzon - I Feudi di Romans,Soreli-Argine,27.7,80.5,54.1,68.27,10.56
Gradis'ciutta,Ch-calvario,26.2,80.4,53.3,82.61,18.01
Venica & Venica,Ch-StallaPesa,21.9,80.4,51.2,83.03,17.07
Antiche Passioni,Valferretti_Moscato_FIVI,27.3,80.4,53.9,57.67,5.25
Specogna,malvasia - 2014 Sud Cantina,22.0,80.4,51.2,78.47,16.7
Gaja,sotto rocca,27.7,80.4,54.0,63.12,6.3
Gaja,nebbiolo Masuè ritocchino parte alte,27.8,80.4,54.1,63.12,6.3
Bigot Federico,ToFr-Pradis,31.4,80.3,55.9,69.36,15.96
Roncada,Pg - sud azienda 1,27.7,80.3,54.0,69.36,15.96
Sturm,Mer - Mossa,27.5,80.3,53.9,78.19,17.32
DOMAINE RP  BOULEY,Champans,25.3,80.2,52.8,26.67,2.52
Louis Roederer,Ay,27.8,80.2,54.0,16.0,1.99
Jidvei,GEWURZTRAMINERF5-9,27.7,80.2,54.0,87.34,32.31
Albiana,Žametovka Zameje,29.7,80.2,54.9,57.92,20.38
Subida di Monte,Sauvignon R3 vigna bassa,30.9,80.1,55.5,69.36,15.96
Cascina Albano,Nebbiolo Ovello Est FIVI,27.7,80.0,53.8,63.12,6.3
ANSELMET,VALLE D'AOSTA,29.5,79.9,54.7,5.77,0.58
Nebo,Brdice Modri Pinot,23.1,79.8,51.5,82.61,18.01
Mauro Veglio,Barolo classico 2_Serralunga,27.3,79.8,53.6,58.33,5.29
Domaine Didier Dagueneau,Poully Fumè,26.3,79.8,53.1,30.97,3.33
Patrick Baudouin,Cotaux du Layon,28.3,79.8,54.1,13.33,1.85
Russiz Superiore,Rib - 2 leoni,27.1,79.8,53.4,69.36,15.96
Jidvei,MUSCAT OTTONELF18-6,27.6,79.8,53.7,3.2,0.16
Ripa della Volta,Rondinella_Pozzo,28.7,79.8,54.3,79.55,14.06
Gaja,nebbiolo Colombaio 2001,27.2,79.8,53.5,52.33,4.39
DOMAINE RP  BOULEY,En Poillange,25.5,79.7,52.6,42.57,4.8
Vie di Romans,chardonnay-vdr2,27.9,79.7,53.8,69.36,15.96
Radikon,Rib - Hum,22.5,79.7,51.1,82.61,18.01
Flaibani,Pg-Casa Basso,20.5,79.6,50.1,89.29,18.35
"Az. Agr. Lovisa Fulvio, Marino ed Angelo",Pg Cason,22.1,79.6,50.8,74.21,13.09
Ronco delle Betulle,Ref-DavantiCasa,24.9,79.6,52.2,74.45,16.47
Mauro Veglio,Lato bosco,31.8,79.6,55.7,80.99,13.76
Le Vigne di Zamò,Pig-Rosazzo Banchine Sotto Ufficio Ovest,24.5,79.4,52.0,74.45,16.47
KABOLA,CROAZIA,28.5,79.4,54.0,83.97,29.75
Jidvei,CHARDONNAYF33-13,28.1,79.3,53.7,94.35,21.19
Domaine des Lambrays,Morey Saint Denis,26.3,79.3,52.8,75.2,7.61
Guigal,Côte Rôtie,24.5,79.3,51.9,52.0,5.27
Jidvei,FETEASCA REGALAF11-74,28.2,79.3,53.8,94.35,21.19
Henri Bonneau,Châteauneuf-du-Pape,30.8,79.3,55.0,0.0,0.0
DOMAINE RP  BOULEY,Santenots,25.5,79.3,52.4,26.67,2.52
Livio Felluga,Masarotte 10B - PG 2010,26.6,79.3,52.9,73.81,16.57
Figelj Giordano,ribolla casa,25.9,79.2,52.5,82.61,18.01
Dudognon,Charentes,26.9,79.2,53.0,48.88,7.37
Ermacora,Ref-Dorigo Fitti,24.0,79.1,51.6,83.03,17.07
Albiana,Sauvignon Pšak,30.7,79.1,54.9,57.92,20.38
Albiana,Modri pinot San Stefan,30.7,79.1,54.9,57.92,20.38
FERRARI,TRENTO DOC,29.7,79.1,54.4,15.67,1.67
Lorenzon - I Feudi di Romans,Lorenzon-Char-Pieris,33.9,79.0,56.5,68.27,10.56
Visintini Andrea,Mer - Casa Strada Nord,26.4,79.0,52.7,78.47,16.7
Chateau La Mission Haut Brion,Pessac Leognan,27.3,78.7,53.0,0.0,0.0
Chateau Haut Brion,Pessac Leognan,27.3,78.7,53.0,0.0,0.0
Philine Isabelle,Dolcetto Monforte nutrienti+ SFW,27.9,78.7,53.3,46.33,3.5
Pecorari Marco,Rb - San Lorenzo strada 2017,28.5,78.6,53.6,69.36,15.96
Villa Sparina,Cortese La Torre,27.7,78.6,53.2,14.07,1.59
Quintarelli,Amarone,31.9,78.5,55.2,68.0,6.66
Ferdinand,Ribolla Zdenc,22.6,78.5,50.6,82.61,18.01
MASSIMAGO S.S. AGR.,Corvinone -  Dossetto,27.6,78.5,53.1,88.3,13.27
Chateau Coutet,Barsac,27.5,78.4,53.0,27.97,3.18
Chateau Rayas,Châteauneuf-du-Pape,31.0,78.3,54.7,0.0,0.0
Doisy Daene,Barsac,27.6,78.3,53.0,27.97,3.18
Domaine G. Roumier,Musigny,25.8,78.3,52.1,75.2,7.61
Gaja,Nebbiolo Pajorè Università,28.4,78.2,53.3,53.12,4.91
Albiana,Žametovka Zajčer,31.0,78.1,54.5,57.92,20.38
Lorenzon - I Feudi di Romans,Sauvignon 9Ha,28.2,78.1,53.2,68.27,10.56
La Taviela s.s.a.,PG2 Dietro Molino alto,25.3,78.1,51.7,67.91,11.36
Ferdinand,Malvasia Pročno,23.4,78.1,50.7,82.61,18.01
MASSIMAGO S.S. AGR.,Rondinella - Le Macie,28.1,78.0,53.0,88.3,13.27
I Magredi,Pg-1,27.6,77.9,52.8,74.21,13.09
Château de Beaucastel,Châteauneuf du Pape,30.0,77.9,53.9,0.0,0.0
Felix Clerget,Vougeot,26.8,77.8,52.3,72.87,7.5
Mauro Veglio,Sotto casa,32.7,77.8,55.2,80.99,13.76
Mauro Veglio,Ritocchino,32.7,77.8,55.2,80.99,13.76
Tenimenti Leone,LNV_ML1,31.3,77.6,54.5,52.0,4.38
JNK,VIPASKA,25.9,77.6,51.8,74.55,12.35
Jean Louis Chave,Les Bessards,28.8,77.4,53.1,4.0,0.5
Korenika & Moškon,Malvasia Kalcinar,27.1,77.0,52.1,86.73,16.74
Korenika & Moškon,Malvasia speronato Kalcinar,27.1,77.0,52.1,86.73,16.74
Alphonse Mellot,Edmond,28.1,76.9,52.5,25.83,2.77
Domaine de la Romanée-Conti,Romanee Conti,27.0,76.8,51.9,29.77,2.97
Armand Rousseau,Chambertin,27.0,76.7,51.8,75.2,7.61
Jaboulet,Les Bessarts,28.9,76.7,52.8,6.0,0.6
Henri Jayer,Vosne Romanee,27.2,76.6,51.9,29.77,2.97
Bentu Luna,Vernaccia,30.7,76.6,53.6,21.83,2.28
Ferdinand,Ribolla Kaleha,22.4,76.5,49.5,82.61,18.01
Domaine Roger Sabon,Châteauneuf-du-Pape,30.5,76.4,53.5,0.0,0.0
Egon Muller,Saar,21.5,76.4,49.0,49.87,4.86
Chateaux Margaux,Margaux,28.3,76.4,52.4,20.0,2.78
Castello di Cigognola ,pinot nero Pizzarello 2010,35.7,76.4,56.0,0.0,0.0
Ca Viola,Barbera Barturot,29.6,76.4,53.0,58.33,5.29
Ferdinand,Merlot Pročno 2017 zgoraj,22.4,76.3,49.4,82.61,18.01
Korenika & Moškon,Malvasia Vecchia Bankina,28.9,76.3,52.6,79.41,15.81
Monsupello,Bar - 2007 Borla Rosso_Monsupello,35.6,76.3,55.9,0.0,0.0
Jidvei,FETEASCA ALBA F16-T10,31.9,76.2,54.1,49.4,5.14
Rado Kocjančič,Vitovska Brdo - Rado Kocjančič,30.0,76.2,53.1,66.13,6.86
Borc da Vila,Car-Fratta02,28.5,76.2,52.3,69.36,15.96
Chateau Palmer,Margaux,28.7,76.1,52.4,20.0,2.78
VCR,Omologazione,26.2,76.1,51.2,74.21,13.09
Monsupello,Pn - 1982 x Rosso_Monsupello,35.7,76.1,55.9,0.0,0.0
Monsupello,Bar - 2007 Mairano,36.0,76.1,56.0,0.0,0.0
Marina,Pinot grigio provinciale,27.9,76.0,52.0,74.21,13.09
Chateau Bel air,Margaux,27.8,76.0,51.9,39.02,5.89
Bajaj,Arneis - Gaiuccio - FIVI,32.0,76.0,54.0,59.12,7.3
Korenika & Moškon,Refosk Pod Kortinca,28.3,75.9,52.1,86.73,16.74
Casa E. Mirafiore,La Delizia sotto strada vigna vecchia,29.2,75.7,52.4,58.33,5.29
ProVitis,Chardonnay_F5_V792,35.2,75.6,55.4,0.0,0.0
Mauro Veglio,Castelletto_ sopra strada,29.4,75.5,52.5,46.33,3.5
Laberdolive,Armagnac,27.5,75.5,51.5,28.37,3.49
Korenika & Moškon,Malvasia Paderno,28.8,75.5,52.1,82.59,16.6
Forchir,Pg - cordone libero 2016,27.8,75.4,51.6,83.23,15.91
Vignai da duline,Sv-Pitotti,28.6,75.4,52.0,74.45,16.47
Monsupello,Pn - 2005 Elicottero_Montagnera,35.4,75.3,55.4,0.0,0.0
Korenika & Moškon,Refosk Medljan,32.0,75.3,53.6,86.73,16.74
MONTEROSSA,FRANCIACORTA,27.4,75.3,51.4,67.06,13.23
Chateau Dassault,Saint Emilion,28.2,75.3,51.7,31.13,3.93
Albafiorita,Glera giovane - Albafiorita,27.8,75.1,51.5,79.3,20.25
Monsupello,Cro - 2003 Redavalle,35.9,75.1,55.5,0.0,0.0
Conterno Fantino,Sori ginestra 72,29.1,75.1,52.1,46.33,3.5
Abrigo Giovanni ,Dolcetto Garabei Fivi,29.9,75.1,52.5,58.33,5.29
Casa E. Mirafiore,La Rosa Sopra Strada,29.8,74.9,52.4,52.33,4.39
Sandrone,Nebb_Villero,30.6,74.9,52.8,46.33,3.5
Sandrone,Talin_Le Coste,29.3,74.8,52.1,46.33,3.5
Monsupello,Neb - 2007 Redavalle,36.0,74.8,55.4,0.0,0.0
Jidvei,RIESLING DE RHINF4-51,33.1,74.7,53.9,87.4,31.44
Ca Viola,Barolo sottocastello,30.7,74.7,52.7,46.33,3.5
Sandrone,Alto_Merli,30.7,74.7,52.7,46.33,3.5
Chateau Le Pin,Pomerol,28.2,74.6,51.4,35.11,7.17
Neri Enrico,trebbiano scarpetta,31.7,74.4,53.1,88.08,25.76
Pieropan,Soave,34.6,74.3,54.5,78.92,9.07
Podere Collalto,Cabernet Sauvignon_ Cantina-dal cancello verso la cantina 8 filari,31.8,74.3,53.0,93.81,21.67
Soc. Agr. VALLE FRASSINA ss,2018 chardonnay,27.5,74.2,50.9,69.88,14.82
ProVitis,Pinot Gris_C_V77+78+79,35.3,74.0,54.6,0.0,0.0
Castello di Cacchiano,Santa lucia ponente,33.3,73.9,53.6,75.42,12.11
IREU - Le Velette,trebbiano baldini,28.6,73.9,51.2,88.14,25.27
Monsupello,Pn - 2011 Ca del Tava,36.6,73.7,55.1,0.0,0.0
Tenuta del Cabreo,Sangiovese D13 - Lago,30.7,73.5,52.1,87.28,18.82
Tenuta San Sano,Palazzino,30.8,73.4,52.1,75.42,12.11
Neri Enrico,chardonnay versante nord,31.0,73.4,52.2,88.14,25.27
