Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27
9,1,RSSPG28,Pg - Casarsa,Oidium,34%,26%,22%,31%,39%,33%,35%
9,1,RSSPG28,Pg - Casarsa,Peronospora,66%,74%,78%,69%,61%,67%,65%
9,6,RSSPB27,Pg - Spessa,Oidium,31%,25%,23%,29%,37%,33%,38%
9,6,RSSPB27,Pg - Spessa,Peronospora,69%,75%,77%,71%,63%,67%,62%
40,158,CENMR01,Mer-Terrazze,Oidium,28%,24%,21%,28%,39%,35%,39%
40,158,CENMR01,Mer-Terrazze,Peronospora,72%,76%,79%,72%,61%,65%,61%
9,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Oidium,26%,20%,20%,34%,42%,31%,43%
9,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Peronospora,74%,80%,80%,66%,58%,69%,57%
9,246,RSSSV27,Sau - Municipio,Oidium,29%,24%,22%,31%,37%,31%,41%
9,246,RSSSV27,Sau - Municipio,Peronospora,71%,76%,78%,69%,63%,69%,59%
9,304,RSSSV27,Sau - Castello,Oidium,30%,27%,19%,29%,39%,38%,39%
9,304,RSSSV27,Sau - Castello,Peronospora,70%,73%,81%,71%,61%,62%,61%
9,323,RSSRIB04,Rib - Rudere,Oidium,31%,27%,19%,29%,39%,39%,39%
9,323,RSSRIB04,Rib - Rudere,Peronospora,69%,73%,81%,71%,61%,61%,61%
9,367,RSSFR26,Rib - Scuola,Oidium,30%,28%,26%,30%,41%,34%,37%
9,367,RSSFR26,Rib - Scuola,Peronospora,70%,72%,74%,70%,59%,66%,63%
15,392,RSSPB27,Pb - Casarsa,Oidium,25%,32%,24%,29%,35%,31%,35%
15,392,RSSPB27,Pb - Casarsa,Peronospora,75%,68%,76%,71%,65%,69%,65%
-1,505,BGTTC01,ToFr-Pradis,Oidium,22%,22%,24%,25%,34%,32%,33%
-1,505,BGTTC01,ToFr-Pradis,Peronospora,78%,78%,76%,75%,66%,68%,67%
15,535,VRSFR22,ToFr-Sant'Antonio,Oidium,21%,21%,15%,29%,36%,28%,35%
15,535,VRSFR22,ToFr-Sant'Antonio,Peronospora,79%,79%,85%,71%,64%,72%,65%
15,581,VRSMR04,Mer-Cipressi,Oidium,31%,25%,23%,37%,35%,29%,35%
15,581,VRSMR04,Mer-Cipressi,Peronospora,69%,75%,77%,63%,65%,71%,65%
15,677,VRSMR23,Rib - Palazzo,Oidium,31%,26%,23%,37%,35%,30%,35%
15,677,VRSMR23,Rib - Palazzo,Peronospora,69%,74%,77%,63%,65%,70%,65%
15,708,VRSMR24,Mer - Curva,Oidium,23%,18%,23%,32%,35%,32%,34%
15,708,VRSMR24,Mer - Curva,Peronospora,77%,82%,77%,68%,65%,68%,66%
15,735,VRSMR27,Sau - vicino Silvoz Mossa,Oidium,18%,20%,21%,34%,41%,24%,39%
15,735,VRSMR27,Sau - vicino Silvoz Mossa,Peronospora,82%,80%,79%,66%,59%,76%,61%
15,769,VRSMR28,Cha - Mossa,Oidium,28%,24%,23%,37%,35%,32%,41%
15,769,VRSMR28,Cha - Mossa,Peronospora,72%,76%,77%,63%,65%,68%,59%
15,789,VRSCHA04,Ch-Bino,Oidium,28%,26%,25%,39%,36%,32%,40%
15,789,VRSCHA04,Ch-Bino,Peronospora,72%,74%,75%,61%,64%,68%,60%
16,792,VRSSV20,Pn - Basso Piramide,Oidium,28%,24%,23%,37%,35%,32%,41%
16,792,VRSSV20,Pn - Basso Piramide,Peronospora,72%,76%,77%,63%,65%,68%,59%
16,827,VRSSV20,Sau - Basso Pighin,Oidium,30%,24%,20%,33%,32%,30%,34%
16,827,VRSSV20,Sau - Basso Pighin,Peronospora,70%,76%,80%,67%,68%,70%,66%
16,887,VRSPG20,Pg-VignaGrande,Oidium,27%,24%,25%,34%,38%,31%,39%
16,887,VRSPG20,Pg-VignaGrande,Peronospora,73%,76%,75%,66%,62%,69%,61%
16,906,VRSMR35,Mer - Sant'Antonio,Oidium,32%,24%,22%,27%,34%,29%,35%
16,906,VRSMR35,Mer - Sant'Antonio,Peronospora,68%,76%,78%,73%,66%,71%,65%
16,914,VRSPB20,Pb-Capriva,Oidium,28%,22%,23%,28%,34%,28%,36%
16,914,VRSPB20,Pb-Capriva,Peronospora,72%,78%,77%,72%,66%,72%,64%
16,934,VRSPG24,Pg-Pighin,Oidium,31%,24%,25%,35%,34%,26%,34%
16,934,VRSPG24,Pg-Pighin,Peronospora,69%,76%,75%,65%,66%,74%,66%
17,942,VRSPG27,Pg - Basso Pighin,Oidium,34%,25%,26%,34%,41%,30%,38%
17,942,VRSPG27,Pg - Basso Pighin,Peronospora,66%,75%,74%,66%,59%,70%,62%
18,1065,VRSSV36,Sau - Moretti Pighin ,Oidium,31%,24%,21%,27%,34%,29%,35%
18,1065,VRSSV36,Sau - Moretti Pighin ,Peronospora,69%,76%,79%,73%,66%,71%,65%
18,1135,VRSSV36,Sv-Pighin2,Oidium,33%,23%,23%,38%,39%,32%,44%
18,1135,VRSSV36,Sv-Pighin2,Peronospora,67%,77%,77%,62%,61%,68%,56%
20,1171,VRSPG29,Pg-Pighin1,Oidium,31%,22%,24%,37%,36%,31%,43%
20,1171,VRSPG29,Pg-Pighin1,Peronospora,69%,78%,76%,63%,64%,69%,57%
20,1200,BGTCH02,Ch- SanQuirino,Oidium,27%,24%,28%,31%,34%,32%,28%
20,1200,BGTCH02,Ch- SanQuirino,Peronospora,73%,76%,72%,69%,66%,68%,72%
21,1228,BGTVER01,Ver-SanQuirino,Oidium,39%,36%,44%,31%,45%,35%,32%
21,1228,BGTVER01,Ver-SanQuirino,Peronospora,61%,64%,56%,69%,55%,65%,68%
21,1308,BGTCSV01,Csv-SanQuirino,Oidium,33%,34%,37%,31%,34%,31%,35%
21,1308,BGTCSV01,Csv-SanQuirino,Peronospora,67%,66%,63%,69%,66%,69%,65%
21,1314,SFEPG01,Pg-Chiesa,Oidium,42%,41%,41%,39%,40%,31%,39%
21,1314,SFEPG01,Pg-Chiesa,Peronospora,58%,59%,59%,61%,60%,69%,61%
-1,1328,SRECH01,Ch-Gorga,Oidium,26%,16%,33%,23%,36%,28%,32%
-1,1328,SRECH01,Ch-Gorga,Peronospora,74%,84%,67%,77%,64%,72%,68%
21,1346,SFEMR01,Mer-Braida,Oidium,36%,43%,52%,45%,45%,41%,43%
21,1346,SFEMR01,Mer-Braida,Peronospora,64%,57%,48%,55%,55%,59%,57%
21,1353,SFEME02,Me-Braida,Oidium,40%,32%,34%,34%,40%,37%,35%
21,1353,SFEME02,Me-Braida,Peronospora,60%,68%,66%,66%,60%,63%,65%
21,1548,SFETC01,Sch-Potok,Oidium,30%,27%,28%,28%,26%,31%,32%
21,1548,SFETC01,Sch-Potok,Peronospora,70%,73%,72%,72%,74%,69%,68%
21,1594,SFECH04,Ch-mirnik,Oidium,28%,32%,25%,35%,36%,41%,33%
21,1594,SFECH04,Ch-mirnik,Peronospora,72%,68%,75%,65%,64%,59%,67%
24,1641,SFEMR02,Mer-Mirnik,Oidium,34%,33%,35%,39%,34%,35%,36%
24,1641,SFEMR02,Mer-Mirnik,Peronospora,66%,67%,65%,61%,66%,65%,64%
24,1702,SFECSV04,Csv-Giovanin,Oidium,29%,34%,28%,35%,29%,41%,40%
24,1702,SFECSV04,Csv-Giovanin,Peronospora,71%,66%,72%,65%,71%,59%,60%
24,1772,SFESV01,Sv-Giovanin,Oidium,29%,26%,29%,28%,25%,39%,36%
24,1772,SFESV01,Sv-Giovanin,Peronospora,71%,74%,71%,72%,75%,61%,64%
24,1789,SFEMAL01,Mal-Ronc,Oidium,33%,31%,27%,36%,29%,45%,39%
24,1789,SFEMAL01,Mal-Ronc,Peronospora,67%,69%,73%,64%,71%,55%,61%
24,1802,SFECH01,Ch-ronc,Oidium,31%,28%,28%,27%,24%,32%,36%
24,1802,SFECH01,Ch-ronc,Peronospora,69%,72%,72%,73%,76%,68%,64%
24,1856,SFERB05,RibG-ronc,Oidium,29%,32%,26%,38%,38%,43%,40%
24,1856,SFERB05,RibG-ronc,Peronospora,71%,68%,74%,62%,62%,57%,60%
24,1880,SFESCH01,Sch-Lidia,Oidium,31%,30%,29%,32%,29%,38%,29%
24,1880,SFESCH01,Sch-Lidia,Peronospora,69%,70%,71%,68%,71%,62%,71%
24,2048,SFECAR01,Car-Lidia,Oidium,28%,24%,25%,29%,35%,33%,39%
24,2048,SFECAR01,Car-Lidia,Peronospora,72%,76%,75%,71%,65%,67%,61%
24,2063,SFECSV02,Csv-Lidia,Oidium,32%,23%,20%,28%,39%,35%,32%
24,2063,SFECSV02,Csv-Lidia,Peronospora,68%,77%,80%,72%,61%,65%,68%
26,2093,SFEMR03,Mer-Lidia,Oidium,30%,21%,22%,34%,36%,31%,43%
26,2093,SFEMR03,Mer-Lidia,Peronospora,70%,79%,78%,66%,64%,69%,57%
-1,2102,SREPB01,Pb-Genoveffa,Oidium,27%,25%,26%,28%,34%,33%,29%
-1,2102,SREPB01,Pb-Genoveffa,Peronospora,73%,75%,74%,72%,66%,67%,71%
2,2124,SFEREF01,Rib-poggio_lonzanoalto,Oidium,27%,25%,25%,34%,38%,31%,39%
2,2124,SFEREF01,Rib-poggio_lonzanoalto,Peronospora,73%,75%,75%,66%,62%,69%,61%
2,2243,SFESCH02,Sch-Prepotto,Oidium,26%,16%,31%,26%,39%,29%,34%
2,2243,SFESCH02,Sch-Prepotto,Peronospora,74%,84%,69%,74%,61%,71%,66%
2,2248,SFECAR02,Car-Prepotto,Oidium,26%,15%,35%,23%,37%,27%,32%
2,2248,SFECAR02,Car-Prepotto,Peronospora,74%,85%,65%,77%,63%,73%,68%
2,2263,SFEPG03,Pg-LonzanoBasso,Oidium,40%,40%,43%,34%,44%,39%,31%
2,2263,SFEPG03,Pg-LonzanoBasso,Peronospora,60%,60%,57%,66%,56%,61%,69%
4,2302,SFEMR04,Mer-Lonzano basso,Oidium,43%,39%,35%,28%,37%,36%,34%
4,2302,SFEMR04,Mer-Lonzano basso,Peronospora,57%,61%,65%,72%,63%,64%,66%
4,2331,SFETC04,ToFr-Lonzano basso,Oidium,33%,33%,35%,33%,35%,32%,35%
4,2331,SFETC04,ToFr-Lonzano basso,Peronospora,67%,67%,65%,67%,65%,68%,65%
4,2523,SFERS01,Rie-lonzano basso,Oidium,35%,38%,42%,35%,48%,37%,23%
4,2523,SFERS01,Rie-lonzano basso,Peronospora,65%,62%,58%,65%,52%,63%,77%
40,2727,CENPG02,Pg-Terrazze,Oidium,38%,38%,39%,37%,45%,36%,36%
40,2727,CENPG02,Pg-Terrazze,Peronospora,62%,62%,61%,63%,55%,64%,64%
-1,2763,SREPG01,Pg-Genoveffa,Oidium,30%,26%,21%,29%,43%,36%,38%
-1,2763,SREPG01,Pg-Genoveffa,Peronospora,70%,74%,79%,71%,57%,64%,62%
4,2793,SFECH05,Ch-lonzano basso,Oidium,28%,24%,20%,29%,39%,35%,39%
4,2793,SFECH05,Ch-lonzano basso,Peronospora,72%,76%,80%,71%,61%,65%,61%
4,2888,SFEMAL02,Mal- Lonzano basso,Oidium,32%,36%,36%,32%,36%,38%,40%
4,2888,SFEMAL02,Mal- Lonzano basso,Peronospora,68%,64%,64%,68%,64%,62%,60%
4,2918,SFESCH03,Sch-Lonzano basso,Oidium,29%,25%,33%,30%,34%,28%,31%
4,2918,SFESCH03,Sch-Lonzano basso,Peronospora,71%,75%,67%,70%,66%,72%,69%
44,3034,ERMMER01,Mer-Bosco,Oidium,50%,63%,59%,64%,62%,59%,55%
44,3034,ERMMER01,Mer-Bosco,Peronospora,50%,37%,41%,36%,38%,41%,45%
44,3129,ERMFRI01,ToFr-Bosco,Oidium,36%,39%,39%,37%,46%,45%,46%
44,3129,ERMFRI01,ToFr-Bosco,Peronospora,64%,61%,61%,63%,54%,55%,54%
4,3132,SFESV02,Sv-Ferreghini,Oidium,30%,23%,22%,34%,37%,31%,31%
4,3132,SFESV02,Sv-Ferreghini,Peronospora,70%,77%,78%,66%,63%,69%,69%
4,3311,SFEMR05,Mer-Ferreghini,Oidium,35%,41%,41%,36%,38%,36%,36%
4,3311,SFEMR05,Mer-Ferreghini,Peronospora,65%,59%,59%,64%,62%,64%,64%
4,3316,SFEMR06,Mer-Ferreghini1,Oidium,31%,41%,43%,38%,37%,36%,35%
4,3316,SFEMR06,Mer-Ferreghini1,Peronospora,69%,59%,57%,62%,63%,64%,65%
4,3322,SFETC03,ToFr-Restocina,Oidium,32%,45%,33%,30%,25%,29%,38%
4,3322,SFETC03,ToFr-Restocina,Peronospora,68%,55%,67%,70%,75%,71%,62%
44,3372,ERMCHA01,Ch-Cantarutti,Oidium,45%,52%,51%,58%,60%,53%,50%
44,3372,ERMCHA01,Ch-Cantarutti,Peronospora,55%,48%,49%,42%,40%,47%,50%
44,3378,ERMFRI11,ToFr-Cantarutti,Oidium,30%,48%,50%,53%,58%,65%,61%
44,3378,ERMFRI11,ToFr-Cantarutti,Peronospora,70%,52%,50%,47%,42%,35%,39%
44,3390,ERMPIG02,Pig-Mario Cantina,Oidium,39%,49%,54%,53%,58%,55%,57%
44,3390,ERMPIG02,Pig-Mario Cantina,Peronospora,61%,51%,46%,47%,42%,45%,43%
44,3754,ERMPING06,Pg-Mario,Oidium,43%,37%,34%,31%,33%,38%,49%
44,3754,ERMPING06,Pg-Mario,Peronospora,57%,63%,66%,69%,67%,62%,51%
40,3797,CENSV03,Sv-Terrazze,Oidium,35%,29%,42%,35%,34%,27%,39%
40,3797,CENSV03,Sv-Terrazze,Peronospora,65%,71%,58%,65%,66%,73%,61%
-1,3823,VIARIS01,Rie-Bosco,Oidium,34%,29%,37%,36%,36%,28%,37%
-1,3823,VIARIS01,Rie-Bosco,Peronospora,66%,71%,63%,64%,64%,72%,63%
4,3880,SFECH03,Ch-restocina1,Oidium,38%,33%,38%,31%,34%,32%,35%
4,3880,SFECH03,Ch-restocina1,Peronospora,62%,67%,62%,69%,66%,68%,65%
-1,3940,VIAPG01,Pg-Bosco,Oidium,33%,24%,22%,30%,38%,35%,32%
-1,3940,VIAPG01,Pg-Bosco,Peronospora,67%,76%,78%,70%,62%,65%,68%
4,3973,SFECH02,ToFr-Restocina_gradoni,Oidium,30%,25%,24%,25%,27%,29%,26%
4,3973,SFECH02,ToFr-Restocina_gradoni,Peronospora,70%,75%,76%,75%,73%,71%,74%
4,4223,SFERB04,RibG-restocina,Oidium,37%,35%,39%,35%,36%,35%,39%
4,4223,SFERB04,RibG-restocina,Peronospora,63%,65%,61%,65%,64%,65%,61%
4,4227,SFESV03,Sv-Basso_Bodigoi,Oidium,38%,31%,36%,32%,43%,33%,30%
4,4227,SFESV03,Sv-Basso_Bodigoi,Peronospora,62%,69%,64%,68%,57%,67%,70%
4,4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Oidium,36%,33%,37%,31%,37%,25%,36%
4,4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Peronospora,64%,67%,63%,69%,63%,75%,64%
4,4350,SFEMR04,Pb-LonzanoAlto,Oidium,27%,24%,24%,28%,33%,31%,32%
4,4350,SFEMR04,Pb-LonzanoAlto,Peronospora,73%,76%,76%,72%,67%,69%,68%
4,4557,SFETC04,Rib-SottoCasa_restocina,Oidium,30%,25%,38%,31%,37%,22%,40%
4,4557,SFETC04,Rib-SottoCasa_restocina,Peronospora,70%,75%,62%,69%,63%,78%,60%
4,4567,SFERS01,Sv-Restocina,Oidium,30%,28%,39%,37%,38%,33%,35%
4,4567,SFERS01,Sv-Restocina,Peronospora,70%,72%,61%,63%,62%,67%,65%
4,4832,SFECH05,Rib-Scriò_Bodigoi,Oidium,27%,23%,28%,26%,35%,33%,34%
4,4832,SFECH05,Rib-Scriò_Bodigoi,Peronospora,73%,77%,72%,74%,65%,67%,66%
4,4942,SFEMAL02,Carm-Paolin,Oidium,28%,24%,19%,28%,40%,32%,36%
4,4942,SFEMAL02,Carm-Paolin,Peronospora,72%,76%,81%,72%,60%,68%,64%
4,5015,,friulano-Cantina_Bodi,Oidium,27%,24%,26%,33%,37%,31%,38%
4,5015,,friulano-Cantina_Bodi,Peronospora,73%,76%,74%,67%,63%,69%,62%
-1,5240,VIAPB01,Pb-Bosco,Oidium,40%,40%,43%,34%,43%,39%,31%
-1,5240,VIAPB01,Pb-Bosco,Peronospora,60%,60%,57%,66%,57%,61%,69%
4,5256,SFEPB02,Pb-Case,Oidium,26%,21%,19%,27%,35%,33%,39%
4,5256,SFEPB02,Pb-Case,Peronospora,74%,79%,81%,73%,65%,67%,61%
4,5297,LENMER01,Mer - Golan,Oidium,49%,45%,48%,51%,50%,40%,35%
4,5297,LENMER01,Mer - Golan,Peronospora,51%,55%,52%,49%,50%,60%,65%
4,5310,LENCSV01,Csv - Golan,Oidium,33%,39%,41%,35%,39%,31%,23%
4,5310,LENCSV01,Csv - Golan,Peronospora,67%,61%,59%,65%,61%,69%,77%
-1,5409,VIAVERPIC01,Ver/Pic-Bosco,Oidium,30%,24%,25%,28%,37%,32%,37%
-1,5409,VIAVERPIC01,Ver/Pic-Bosco,Peronospora,70%,76%,75%,72%,63%,68%,63%
-1,5415,VIAPIG01,Pig-Judrio,Oidium,21%,15%,16%,20%,15%,17%,26%
-1,5415,VIAPIG01,Pig-Judrio,Peronospora,79%,85%,84%,80%,85%,83%,74%
4,5427,LENTF01,ToFr - Golan,Oidium,24%,16%,24%,31%,38%,29%,35%
4,5427,LENTF01,ToFr - Golan,Peronospora,76%,84%,76%,69%,62%,71%,65%
-1,5457,VIATF01,ToFr-CollinaVecchia,Oidium,27%,30%,36%,31%,30%,34%,41%
-1,5457,VIATF01,ToFr-CollinaVecchia,Peronospora,73%,70%,64%,69%,70%,66%,59%
4,5460,LENSCH01,Sch-Albana,Oidium,27%,30%,36%,31%,30%,34%,41%
4,5460,LENSCH01,Sch-Albana,Peronospora,73%,70%,64%,69%,70%,66%,59%
-1,5464,VIARB01,Rib-CollinaVecchia,Oidium,33%,28%,33%,29%,35%,28%,36%
-1,5464,VIARB01,Rib-CollinaVecchia,Peronospora,67%,72%,67%,71%,65%,72%,64%
4,5553,LENCAR02,Car-Albana,Oidium,30%,31%,32%,33%,33%,38%,36%
4,5553,LENCAR02,Car-Albana,Peronospora,70%,69%,68%,67%,67%,62%,64%
4,6037,LENTR02,ToFr-Albana,Oidium,22%,30%,22%,30%,39%,33%,35%
4,6037,LENTR02,ToFr-Albana,Peronospora,78%,70%,78%,70%,61%,67%,65%
4,6436,LENSV01,Sv-Albana,Oidium,34%,32%,43%,50%,36%,37%,42%
4,6436,LENSV01,Sv-Albana,Peronospora,66%,68%,57%,50%,64%,63%,58%
4,6469,LENCF01,Cf-Albana,Oidium,37%,41%,40%,50%,39%,37%,40%
4,6469,LENCF01,Cf-Albana,Peronospora,63%,59%,60%,50%,61%,63%,60%
4,6490,LENMER02,Mer-Albana ,Oidium,37%,34%,42%,49%,39%,41%,45%
4,6490,LENMER02,Mer-Albana ,Peronospora,63%,66%,58%,51%,61%,59%,55%
4,6697,LENTR03,ToFr-Casa2,Oidium,38%,42%,35%,40%,45%,28%,30%
4,6697,LENTR03,ToFr-Casa2,Peronospora,62%,58%,65%,60%,55%,72%,70%
40,6703,CENRB01,Rib-Terrazze,Oidium,29%,18%,17%,28%,30%,33%,30%
40,6703,CENRB01,Rib-Terrazze,Peronospora,71%,82%,83%,72%,70%,67%,70%
4,6866,LENCF02,CabF - Milio,Oidium,36%,32%,37%,32%,38%,23%,37%
4,6866,LENCF02,CabF - Milio,Peronospora,64%,68%,63%,68%,62%,77%,63%
4,6868,LENRIB01,Rib - Milio,Oidium,37%,33%,41%,34%,36%,28%,38%
4,6868,LENRIB01,Rib - Milio,Peronospora,63%,67%,59%,66%,64%,72%,62%
4,6895,LENSV02,Sv - Fornalis Estirpato 2016,Oidium,31%,31%,26%,23%,25%,26%,26%
4,6895,LENSV02,Sv - Fornalis Estirpato 2016,Peronospora,69%,69%,74%,77%,75%,74%,74%
2,6902,VIAVER01,Ver-Bosco,Oidium,23%,28%,36%,39%,35%,37%,35%
2,6902,VIAVER01,Ver-Bosco,Peronospora,77%,72%,64%,61%,65%,63%,65%
4,6927,GRASV01,Sv-Neblo,Oidium,37%,30%,36%,32%,27%,31%,38%
4,6927,GRASV01,Sv-Neblo,Peronospora,63%,70%,64%,68%,73%,69%,62%
4,7068,GRARIB01,Rib-neblo,Oidium,45%,41%,41%,37%,39%,36%,31%
4,7068,GRARIB01,Rib-neblo,Peronospora,55%,59%,59%,63%,61%,64%,69%
4,7069,GRATR01,ToFr-Neblo,Oidium,39%,42%,41%,30%,37%,33%,31%
4,7069,GRATR01,ToFr-Neblo,Peronospora,61%,58%,59%,70%,63%,67%,69%
2,7309,VIASV01,Sv-SottoCantina,Oidium,42%,43%,51%,53%,48%,49%,42%
2,7309,VIASV01,Sv-SottoCantina,Peronospora,58%,57%,49%,47%,52%,51%,58%
4,7310,GRARIB02,Rib-zali breg,Oidium,39%,33%,50%,56%,51%,53%,46%
4,7310,GRARIB02,Rib-zali breg,Peronospora,61%,67%,50%,44%,49%,47%,54%
4,7442,GRAPB01,Pb-ZaliBreg,Oidium,31%,27%,42%,34%,31%,29%,32%
4,7442,GRAPB01,Pb-ZaliBreg,Peronospora,69%,73%,58%,66%,69%,71%,68%
4,7457,GRAMER02,Mer-ZaliBreg,Oidium,25%,19%,20%,23%,36%,31%,35%
4,7457,GRAMER02,Mer-ZaliBreg,Peronospora,75%,81%,80%,77%,64%,69%,65%
40,7464,CENFR01,ToFr-Terrazze,Oidium,24%,19%,19%,33%,40%,30%,40%
40,7464,CENFR01,ToFr-Terrazze,Peronospora,76%,81%,81%,67%,60%,70%,60%
40,7468,CENPIG02,Pig-Ritocchino,Oidium,23%,19%,18%,24%,33%,30%,35%
40,7468,CENPIG02,Pig-Ritocchino,Peronospora,77%,81%,82%,76%,67%,70%,65%
4,7472,GRARIB02,Rib-ZaliBreg1,Oidium,25%,20%,19%,25%,34%,34%,36%
4,7472,GRARIB02,Rib-ZaliBreg1,Peronospora,75%,80%,81%,75%,66%,66%,64%
4,7866,GRASV02,Sv-Zali breg,Oidium,25%,28%,19%,32%,37%,25%,37%
4,7866,GRASV02,Sv-Zali breg,Peronospora,75%,72%,81%,68%,63%,75%,63%
4,7877,GRASV03,Sv-Pintar,Oidium,43%,33%,35%,27%,31%,34%,24%
4,7877,GRASV03,Sv-Pintar,Peronospora,57%,67%,65%,73%,69%,66%,76%
4,7882,GRAMER01,Mer-Pintar,Oidium,45%,41%,41%,37%,39%,36%,31%
4,7882,GRAMER01,Mer-Pintar,Peronospora,55%,59%,59%,63%,61%,64%,69%
4,7904,GRATR02,ToFr-pintar,Oidium,33%,23%,21%,36%,43%,36%,43%
4,7904,GRATR02,ToFr-pintar,Peronospora,67%,77%,79%,64%,57%,64%,57%
4,7972,GRAPG01,Pg-Pintar,Oidium,32%,35%,34%,35%,31%,28%,30%
4,7972,GRAPG01,Pg-Pintar,Peronospora,68%,65%,66%,65%,69%,72%,70%
4,8069,GRACH01,Ch-calvario,Oidium,25%,19%,20%,23%,36%,31%,35%
4,8069,GRACH01,Ch-calvario,Peronospora,75%,81%,80%,77%,64%,69%,65%
2,8082,VIAPG02,Pg-SottoCantina,Oidium,23%,28%,36%,38%,35%,37%,35%
2,8082,VIAPG02,Pg-SottoCantina,Peronospora,77%,72%,64%,62%,65%,63%,65%
4,8104,GRAMER02,Mer-Calvario,Oidium,48%,50%,51%,67%,55%,59%,56%
4,8104,GRAMER02,Mer-Calvario,Peronospora,52%,50%,49%,33%,45%,41%,44%
3,8173,VIAVER02,Ver-Sotto cantina,Oidium,28%,38%,51%,43%,33%,38%,41%
3,8173,VIAVER02,Ver-Sotto cantina,Peronospora,72%,62%,49%,57%,67%,62%,59%
4,8183,GRACAR01,Car-Calvario,Oidium,36%,38%,36%,31%,38%,31%,26%
4,8183,GRACAR01,Car-Calvario,Peronospora,64%,62%,64%,69%,62%,69%,74%
4,8273,GRAMAL01,Mal-Calvario,Oidium,31%,35%,39%,39%,36%,36%,39%
4,8273,GRAMAL01,Mal-Calvario,Peronospora,69%,65%,61%,61%,64%,64%,61%
8,8280,GRARIB03,Rib-Calvario,Oidium,45%,32%,31%,36%,30%,29%,36%
8,8280,GRARIB03,Rib-Calvario,Peronospora,55%,68%,69%,64%,70%,71%,64%
8,8294,GRATR02,ToFr-StefanutCasa,Oidium,36%,30%,35%,36%,42%,29%,38%
8,8294,GRATR02,ToFr-StefanutCasa,Peronospora,64%,70%,65%,64%,58%,71%,62%
8,8330,GRATR03,ToFr-StefanutCasa1,Oidium,30%,24%,22%,24%,35%,29%,32%
